,count,mean,std,min,25%,50%,75%,max,file
geoid,99032.0,170316461609270.94,2619393113.381874,170310101001000.0,170315201001012.75,170318047114001.5,170318230011006.25,170319900000014.0,access_1800_1.csv
POP10,99032.0,52.45450965344535,81.46668635715072,0.0,4.0,36.0,69.0,9798.0,access_1800_1.csv
acc1800,99032.0,0.00413909029487108,0.0010194588312279677,0.0,0.0035663275311553252,0.0043187332738171,0.004966259268477425,0.0064796149346826,access_1800_1.csv
acc1800_1000,99032.0,4.13909029487108,1.0194588312279678,0.0,3.566327531155325,4.3187332738171005,4.966259268477425,6.4796149346826,access_1800_1.csv
geoid,99032.0,170316461609270.94,2619393113.381874,170310101001000.0,170315201001012.75,170318047114001.5,170318230011006.25,170319900000014.0,access_1800_max_f.csv
POP10,99032.0,52.45450965344535,81.46668635715072,0.0,4.0,36.0,69.0,9798.0,access_1800_max_f.csv
acc1800,99032.0,0.004131350517417991,0.001013425239076311,0.0,0.0035537733448923253,0.00432870682538625,0.004943655401239849,0.0064704999935894,access_1800_max_f.csv
acc1800_1000,99032.0,4.131350517417991,1.0134252390763108,0.0,3.553773344892325,4.32870682538625,4.94365540123985,6.4704999935894,access_1800_max_f.csv
geoid,99032.0,170316461609270.94,2619393113.381874,170310101001000.0,170315201001012.75,170318047114001.5,170318230011006.25,170319900000014.0,access_1800_min_a.csv
POP10,99032.0,52.45450965344535,81.46668635715072,0.0,4.0,36.0,69.0,9798.0,access_1800_min_a.csv
acc1800,99032.0,0.0020245231447103096,0.0011976580715624217,0.0,0.0014158176672911,0.0023089607037335,0.00306932149238305,0.00457487955859,access_1800_min_a.csv
acc1800_1000,99032.0,2.024523144710309,1.1976580715624217,0.0,1.4158176672911,2.3089607037335,3.06932149238305,4.57487955859,access_1800_min_a.csv
geoid,99032.0,170316461609270.94,2619393113.381874,170310101001000.0,170315201001012.75,170318047114001.5,170318230011006.25,170319900000014.0,access_1800_min_f.csv
POP10,99032.0,52.45450965344535,81.46668635715072,0.0,4.0,36.0,69.0,9798.0,access_1800_min_f.csv
acc1800,99032.0,0.004118387527584259,0.0010403162722031072,0.0,0.0035102532507207997,0.0043180186397841006,0.0049647021141786245,0.0064822144031215,access_1800_min_f.csv
acc1800_1000,99032.0,4.118387527584259,1.0403162722031074,0.0,3.5102532507208,4.3180186397841,4.964702114178625,6.4822144031215,access_1800_min_f.csv
geoid,99032.0,170316461609270.94,2619393113.381874,170310101001000.0,170315201001012.75,170318047114001.5,170318230011006.25,170319900000014.0,access_2700_1.csv
POP10,99032.0,52.45450965344535,81.46668635715072,0.0,4.0,36.0,69.0,9798.0,access_2700_1.csv
acc2700,99032.0,0.004127622950159387,0.0005813778641325614,5.8959168336359855e-05,0.003852637792911875,0.0041978161933570995,0.0045165355484625,0.0055403911129974,access_2700_1.csv
acc2700_1000,99032.0,4.127622950159386,0.5813778641325613,0.0589591683363598,3.852637792911875,4.1978161933571005,4.5165355484625005,5.5403911129974,access_2700_1.csv
geoid,99032.0,170316461609270.94,2619393113.381874,170310101001000.0,170315201001012.75,170318047114001.5,170318230011006.25,170319900000014.0,access_2700_max_f.csv
POP10,99032.0,52.45450965344535,81.46668635715072,0.0,4.0,36.0,69.0,9798.0,access_2700_max_f.csv
acc2700,99032.0,0.004122757925954954,0.0005797043875054056,5.896035155996315e-05,0.003844506972769775,0.0042106441158514495,0.0045050135552755,0.0055267078724659,access_2700_max_f.csv
acc2700_1000,99032.0,4.122757925954953,0.5797043875054056,0.0589603515599631,3.844506972769775,4.21064411585145,4.5050135552755,5.5267078724659005,access_2700_max_f.csv
geoid,99032.0,170316461609270.94,2619393113.381874,170310101001000.0,170315201001012.75,170318047114001.5,170318230011006.25,170319900000014.0,access_2700_min_a.csv
POP10,99032.0,52.45450965344535,81.46668635715072,0.0,4.0,36.0,69.0,9798.0,access_2700_min_a.csv
acc2700,99032.0,0.0020999399414113095,0.0011361980934682784,0.0,0.0015547175468313,0.0026004602239027503,0.002857858715650625,0.0037893160810513,access_2700_min_a.csv
acc2700_1000,99032.0,2.0999399414113094,1.1361980934682785,0.0,1.5547175468313,2.60046022390275,2.857858715650625,3.7893160810513,access_2700_min_a.csv
geoid,99032.0,170316461609270.94,2619393113.381874,170310101001000.0,170315201001012.75,170318047114001.5,170318230011006.25,170319900000014.0,access_2700_min_f.csv
POP10,99032.0,52.45450965344535,81.46668635715072,0.0,4.0,36.0,69.0,9798.0,access_2700_min_f.csv
acc2700,99032.0,0.0041092752534171075,0.0006189711494151469,0.0,0.003848472666317,0.00419292462140225,0.004513967170978525,0.0055406010279363,access_2700_min_f.csv
acc2700_1000,99032.0,4.109275253417107,0.618971149415147,0.0,3.848472666317,4.19292462140225,4.513967170978526,5.5406010279363,access_2700_min_f.csv
geoid,99032.0,170316461609270.94,2619393113.381874,170310101001000.0,170315201001012.75,170318047114001.5,170318230011006.25,170319900000014.0,access_3600_1.csv
POP10,99032.0,52.45450965344535,81.46668635715072,0.0,4.0,36.0,69.0,9798.0,access_3600_1.csv
acc3600,99032.0,0.0038412170641378613,0.00031850277615676616,0.0017152272468776,0.0037162709909969,0.0039068227532783,0.0040814490415846255,0.004323305663625,access_3600_1.csv
acc3600_1000,99032.0,3.841217064137861,0.31850277615676614,1.7152272468776,3.7162709909969,3.9068227532783,4.081449041584626,4.323305663625,access_3600_1.csv
geoid,99032.0,170316461609270.94,2619393113.381874,170310101001000.0,170315201001012.75,170318047114001.5,170318230011006.25,170319900000014.0,access_3600_max_f.csv
POP10,99032.0,52.45450965344535,81.46668635715072,0.0,4.0,36.0,69.0,9798.0,access_3600_max_f.csv
acc3600,99032.0,0.0038381459757577856,0.00032086310513138624,0.0013201821941748,0.0037162295005735754,0.0039055197720825998,0.0040761491067291,0.0043147124925484,access_3600_max_f.csv
acc3600_1000,99032.0,3.8381459757577856,0.3208631051313863,1.3201821941748,3.716229500573575,3.9055197720826,4.076149106729099,4.3147124925484,access_3600_max_f.csv
geoid,99032.0,170316461609270.94,2619393113.381874,170310101001000.0,170315201001012.75,170318047114001.5,170318230011006.25,170319900000014.0,access_3600_min_a.csv
POP10,99032.0,52.45450965344535,81.46668635715072,0.0,4.0,36.0,69.0,9798.0,access_3600_min_a.csv
acc3600,99032.0,0.00198624702497071,0.001042582197551128,0.0,0.0015324010271153,0.0025292174415982,0.0027148376618438,0.0028846287984337,access_3600_min_a.csv
acc3600_1000,99032.0,1.98624702497071,1.042582197551128,0.0,1.5324010271153,2.5292174415982,2.7148376618438,2.8846287984337,access_3600_min_a.csv
geoid,99032.0,170316461609270.94,2619393113.381874,170310101001000.0,170315201001012.75,170318047114001.5,170318230011006.25,170319900000014.0,access_3600_min_f.csv
POP10,99032.0,52.45450965344535,81.46668635715072,0.0,4.0,36.0,69.0,9798.0,access_3600_min_f.csv
acc3600,99032.0,0.00382489504157419,0.0003794629251133931,0.0,0.0037090584333123,0.0039081836947438,0.004083510777435025,0.0043267896528682,access_3600_min_f.csv
acc3600_1000,99032.0,3.8248950415741896,0.37946292511339313,0.0,3.7090584333123,3.9081836947438,4.083510777435025,4.3267896528682,access_3600_min_f.csv
geoid,99003.0,170316461099347.03,2619607248.296491,170310101001000.0,170315201001005.5,170318047113012.0,170318230011013.5,170319900000014.0,access_900_1.csv
POP10,99003.0,52.46987465026312,81.473669724755,0.0,4.0,36.0,69.0,9798.0,access_900_1.csv
acc900,99003.0,0.003855839283332496,0.00160242658841301,0.0,0.00261603025267055,0.0035008109742523,0.005005919514551699,0.0079443003137612,access_900_1.csv
acc900_1000,99003.0,3.8558392833324957,1.6024265884130098,0.0,2.61603025267055,3.5008109742523,5.0059195145517,7.9443003137612,access_900_1.csv
geoid,99003.0,170316461099347.03,2619607248.296491,170310101001000.0,170315201001005.5,170318047113012.0,170318230011013.5,170319900000014.0,access_900_max_f.csv
POP10,99003.0,52.46987465026312,81.473669724755,0.0,4.0,36.0,69.0,9798.0,access_900_max_f.csv
acc900,99003.0,0.003843439113217302,0.0015948274857276261,0.0,0.0026074907162598497,0.0034969444967537,0.0049840706063647,0.0078853821877583,access_900_max_f.csv
acc900_1000,99003.0,3.843439113217302,1.594827485727626,0.0,2.60749071625985,3.4969444967537,4.9840706063647,7.8853821877583,access_900_max_f.csv
geoid,99003.0,170316461099347.03,2619607248.296491,170310101001000.0,170315201001005.5,170318047113012.0,170318230011013.5,170319900000014.0,access_900_min_a.csv
POP10,99003.0,52.46987465026312,81.473669724755,0.0,4.0,36.0,69.0,9798.0,access_900_min_a.csv
acc900,99003.0,0.0018966578660233814,0.0014586062440868554,0.0,0.00090123256601685,0.001689694125723,0.00277374285378065,0.0061433594300938,access_900_min_a.csv
acc900_1000,99003.0,1.896657866023382,1.4586062440868555,0.0,0.90123256601685,1.689694125723,2.77374285378065,6.1433594300938,access_900_min_a.csv
geoid,99003.0,170316461099347.03,2619607248.296491,170310101001000.0,170315201001005.5,170318047113012.0,170318230011013.5,170319900000014.0,access_900_min_f.csv
POP10,99003.0,52.46987465026312,81.473669724755,0.0,4.0,36.0,69.0,9798.0,access_900_min_f.csv
acc900,99003.0,0.0038318305078847577,0.0016115247770653184,0.0,0.00259900027183945,0.0034692530971748,0.004971292754395449,0.0079585129431082,access_900_min_f.csv
acc900_1000,99003.0,3.831830507884758,1.6115247770653183,0.0,2.59900027183945,3.4692530971748003,4.971292754395449,7.9585129431082,access_900_min_f.csv
